frame_number,track_id,label_bbox,label_bbox_score,read_label,text_score
88,1.0,[419.3836669921875 338.96728515625 494.89794921875 402.3446044921875],0.8766294121742249,12602,0.2045636506601391
100,3.0,[228.29840087890625 409.9332275390625 332.1522216796875 529.9700317382812],0.6739293932914734,47,0.2118078180019622
102,4.0,[242.03054809570312 413.6820068359375 352.6899108886719 534.7939453125],0.6340748071670532,1,0.4703274663775261
103,4.0,[242.4276123046875 414.704345703125 356.9691162109375 534.65673828125],0.663673460483551,3,0.11303482783194685
104,4.0,[242.35302734375 415.02490234375 358.1212158203125 534.5869140625],0.6858396530151367,7,0.3201268872390415
106,4.0,[234.67312622070312 415.658447265625 354.4071350097656 534.4111328125],0.6835027933120728,4,0.40003218875348523
108,1.0,[496.59674072265625 393.0075988769531 567.5914916992188 460.8331604003906],0.7895086407661438,1247,0.08362157642841339
108,3.0,[224.47430419921875 413.19293212890625 336.78631591796875 527.036865234375],0.7479028105735779,1,0.5951062920704686
109,1.0,[213.20162963867188 411.42529296875 333.4075622558594 525.9367065429688],0.7331717610359192,0,0.25409622328248815
109,2.0,[489.08062744140625 392.0858154296875 561.4451293945312 461.53790283203125],0.7131105661392212,138,0.2680036970076694
110,3.0,[201.63034057617188 410.13671875 327.6483459472656 523.734375],0.742071807384491,17,0.4234613270906351
113,2.0,[176.41049194335938 400.87158203125 308.0105285644531 509.38909912109375],0.740446150302887,066,0.07213067217413204
113,3.0,[459.36956787109375 391.4184265136719 532.0590209960938 461.9203796386719],0.6955030560493469,6,0.08507333286410645
115,2.0,[260.1207580566406 701.4722900390625 307.6962585449219 727.4395751953125],0.7948104739189148,17,0.5442095719802412
115,3.0,[164.42544555664062 393.35394287109375 295.9070129394531 501.28350830078125],0.7853339314460754,0,0.5997246179264302
116,2.0,[164.944580078125 391.48565673828125 297.74359130859375 494.61614990234375],0.7723295092582703,86,0.058439054226631704
116,3.0,[452.05462646484375 388.4552001953125 521.3584594726562 463.185302734375],0.7713356018066406,6,0.5861164759329682
117,1.0,[259.368896484375 695.65966796875 306.06085205078125 724.833984375],0.8281568884849548,4746,0.046319104731082916
117,3.0,[457.8570556640625 392.9175109863281 528.6109619140625 467.5371398925781],0.7045567035675049,13,0.41228503029606295
125,1.0,[322.0260314941406 711.0208740234375 369.7967224121094 746.5982666015625],0.8305349349975586,674,0.2586970031261444
127,4.0,[295.97003173828125 434.81304931640625 442.31085205078125 498.89202880859375],0.62721186876297,7,0.16661409826181117
132,3.0,[325.5428466796875 718.84765625 368.9630126953125 756.645751953125],0.617218017578125,6,0.4160706493024833
136,1.0,[596.6412353515625 539.5794677734375 645.3646240234375 623.3572998046875],0.8586961627006531,1,0.7510587452373194
142,1.0,[605.734619140625 578.786376953125 640.327392578125 662.4912109375],0.8007255792617798,1,0.5136275600054887
150,1.0,[633.3690185546875 597.197021484375 659.63818359375 681.031005859375],0.7797355651855469,8,0.5174303507752462
151,1.0,[633.963134765625 598.017822265625 663.907470703125 680.2529296875],0.7049117684364319,1,0.8339341691091171
152,1.0,[637.87451171875 597.5914306640625 666.58642578125 682.0123291015625],0.6460939645767212,1,0.8695665970514064
153,1.0,[641.5458374023438 597.9467163085938 668.0300903320312 681.5028686523438],0.6484980583190918,1,0.730100263542738
154,1.0,[644.9580078125 597.8385009765625 669.552490234375 680.2713623046875],0.6317650675773621,1,0.6632644750179431
155,1.0,[647.232666015625 597.0841064453125 670.788330078125 679.6007080078125],0.6413213014602661,1,0.7786395008184286
156,1.0,[648.5140380859375 597.2581787109375 673.0692138671875 680.2158203125],0.6532647609710693,1,0.9576582425928706
157,1.0,[648.8899536132812 598.5350341796875 673.8212280273438 680.0032958984375],0.6586815118789673,1,0.6221467670412153
158,1.0,[649.1717529296875 599.2600708007812 675.2615966796875 680.5636596679688],0.6492631435394287,1,0.5448445688863934
161,1.0,[651.277099609375 599.6708984375 682.187255859375 682.802490234375],0.61745685338974,1,0.5537181253146315
163,1.0,[662.70263671875 605.416015625 685.6175537109375 684.0859375],0.6465266942977905,1,0.9259483375893787
164,1.0,[665.6959228515625 606.52978515625 687.73974609375 686.168701171875],0.6612609624862671,1,0.8625149658530837
165,1.0,[425.3127136230469 815.9542846679688 438.4620666503906 868.3168334960938],0.6021230220794678,1,0.39223799876626586
199,1.0,[341.4295959472656 719.6376953125 373.4894714355469 763.8045654296875],0.6202364563941956,6,0.14906508190485912
206,1.0,[599.4246826171875 1165.1298828125 629.6983642578125 1279.8251953125],0.636531412601471,0,0.6005032952693945
230,1.0,[671.1185302734375 560.9737548828125 699.1456298828125 650.2047119140625],0.6052762269973755,1,0.5187195522506869
232,2.0,[671.63671875 549.6612548828125 699.4208984375 641.1427001953125],0.6164100766181946,1,0.6189737160050335
240,1.0,[336.3599853515625 640.0693359375 367.0782470703125 675.8436279296875],0.6053986549377441,2,0.21512045959367754
246,2.0,[336.8790283203125 639.65869140625 367.929443359375 670.7724609375],0.676685631275177,0,0.8313489634054214
249,1.0,[428.3509216308594 703.5860595703125 446.4056701660156 752.6942138671875],0.6637130379676819,0,0.16133712015442203
251,1.0,[657.6943969726562 509.5421142578125 685.2734985351562 597.7113037109375],0.6883362531661987,,0.0
254,1.0,[426.2572021484375 704.45947265625 444.02423095703125 752.909912109375],0.65290367603302,6,0.6981726057875335
254,2.0,[649.83251953125 510.18292236328125 682.3480224609375 600.9406127929688],0.6399706602096558,1,0.4053069382337071
255,1.0,[648.826416015625 512.2685546875 680.5928955078125 599.4716796875],0.7069419622421265,1,0.7279390834203561
256,1.0,[648.3053588867188 511.601806640625 677.9412231445312 596.4954833984375],0.6792497634887695,1,0.47785387468026386
257,2.0,[646.7156982421875 510.4923095703125 672.9874267578125 594.6136474609375],0.6491471529006958,1,0.9176270845325831
258,2.0,[644.9707641601562 510.37322998046875 670.0371704101562 591.2556762695312],0.6344791054725647,1,0.712354482259471
260,1.0,[638.0179443359375 507.1202392578125 667.7652587890625 590.3248291015625],0.6297479271888733,1,0.9014209255403784
261,2.0,[637.14794921875 502.0423583984375 667.0191650390625 588.5767822265625],0.6102267503738403,1,0.58967753497258
262,1.0,[637.5671997070312 500.3502197265625 666.6946411132812 583.7493896484375],0.6546921133995056,1,0.7163630314853755
263,1.0,[424.9037780761719 684.998046875 442.0451354980469 730.83251953125],0.6328092217445374,6,0.9722533633625439
264,1.0,[425.63861083984375 683.00146484375 443.27813720703125 728.518798828125],0.6305567622184753,0,0.20955510997227123
264,2.0,[635.5338134765625 495.050537109375 667.7362060546875 574.6982421875],0.6246497631072998,1,0.465698948400334
265,1.0,[426.710205078125 679.0620727539062 444.7918701171875 725.2041625976562],0.6305095553398132,6,0.5276578517069197
265,2.0,[637.4769287109375 491.38446044921875 667.4810791015625 577.8052368164062],0.6065724492073059,1,0.6861818058045088
266,1.0,[633.9046630859375 487.04888916015625 667.8035888671875 569.4850463867188],0.6957147121429443,1,0.7342474360505982
266,2.0,[427.659423828125 674.67529296875 444.76776123046875 721.971923828125],0.6523916125297546,6,0.5714309857584254
266,3.0,[336.16229248046875 632.2034912109375 366.63201904296875 660.3504638671875],0.6444618105888367,11604,0.15884101415101134
267,1.0,[428.02435302734375 672.3671875 445.71478271484375 718.62841796875],0.69450843334198,2,0.4671611577659043
267,2.0,[634.24755859375 482.622802734375 668.024169921875 565.095458984375],0.694200873374939,1,0.8759983506749371
267,3.0,[336.26483154296875 628.976318359375 367.04852294921875 659.419677734375],0.6396193504333496,07281,0.03793208787426557
268,1.0,[634.08154296875 479.740966796875 667.7529296875 559.4368896484375],0.7019543647766113,1,0.293689438483856
268,2.0,[428.73687744140625 671.886474609375 446.48150634765625 711.9454345703125],0.6271460652351379,0,0.14553704714203608
269,1.0,[632.718017578125 477.7625732421875 667.786865234375 556.722900390625],0.7617668509483337,1,0.9041730974490889
269,2.0,[337.96954345703125 627.2452392578125 368.12042236328125 654.9647216796875],0.603420078754425,041,0.4502846684588196
270,1.0,[631.0184326171875 469.957275390625 666.5843505859375 553.3921508789062],0.7341448664665222,1,0.6206085770288361
270,3.0,[338.02032470703125 623.4988403320312 368.00714111328125 653.7747192382812],0.6341726183891296,0151,0.7477629629934329
271,1.0,[630.9459228515625 467.8790283203125 666.8157958984375 549.25439453125],0.788829505443573,1,0.3245904886059101
271,2.0,[337.11370849609375 620.9302978515625 368.97796630859375 649.4188232421875],0.6679997444152832,054,0.4074210430285967
272,1.0,[630.6944580078125 464.978759765625 665.296630859375 546.0972900390625],0.7548055648803711,1,0.6092612848296994
272,2.0,[427.8165283203125 656.014404296875 446.839111328125 700.7176513671875],0.6870601773262024,0,0.36606959559846075
272,3.0,[336.46954345703125 618.6917724609375 368.4610595703125 648.0123291015625],0.6611642241477966,64,0.3710367561566588
273,1.0,[629.9488525390625 462.8887939453125 664.1583251953125 541.2042236328125],0.8180615901947021,1,0.12203151697527748
274,1.0,[630.6965942382812 457.12603759765625 663.0563354492188 537.6599731445312],0.7682073712348938,1,0.13020214519043893
275,1.0,[628.0369873046875 452.6231689453125 659.2047119140625 535.2877197265625],0.7885933518409729,1,0.6232573550679632
276,1.0,[626.7986450195312 450.33172607421875 657.3161010742188 533.5775756835938],0.7109907865524292,1,0.6101117704937487
277,1.0,[624.6395874023438 447.05194091796875 656.1350708007812 538.327392578125],0.701545000076294,1,0.6995692012880141
278,1.0,[618.5838623046875 448.3369140625 654.0340576171875 524.642578125],0.713433027267456,,0.0
279,1.0,[615.351806640625 444.0216064453125 652.06982421875 521.7188720703125],0.7251960039138794,,0.0
279,2.0,[426.3759765625 637.82421875 441.670166015625 679.02734375],0.671428918838501,0,0.034469974833817085
280,1.0,[615.2059326171875 442.86712646484375 651.9971923828125 520.4244995117188],0.7522411942481995,2,0.78392249480045
280,2.0,[425.50958251953125 634.8406372070312 440.96893310546875 676.0451049804688],0.6635666489601135,1,0.4306640625
281,1.0,[612.5560302734375 437.121337890625 650.4588623046875 516.8441162109375],0.7871032357215881,1,0.23271300922406457
282,2.0,[328.59893798828125 604.9325561523438 360.08502197265625 631.7085571289062],0.6773054599761963,06,0.7062653411305674
283,2.0,[329.06805419921875 601.8729248046875 358.20770263671875 627.6832275390625],0.6476467847824097,074,0.04283583635310884
287,2.0,[323.9659423828125 595.5675048828125 355.0003662109375 619.796142578125],0.6041321158409119,04,0.25773399923758467
288,2.0,[324.38671875 594.4113159179688 354.546630859375 618.0596313476562],0.6654075384140015,46,0.5942878802584614
289,2.0,[323.0777587890625 590.522216796875 354.1903076171875 616.70556640625],0.6031402349472046,4236,0.08066698908805847
291,2.0,[322.6070251464844 583.670166015625 353.7785949707031 609.2039794921875],0.6514768004417419,023,0.33266259857574576
292,1.0,[599.0198364257812 403.9185791015625 637.5905151367188 483.3836669921875],0.7757556438446045,6,0.7702746885923126
293,1.0,[597.1123046875 402.919677734375 637.5966796875 480.13873291015625],0.7925131916999817,,0.0
299,1.0,[594.8185424804688 382.8275451660156 633.6834106445312 458.7866516113281],0.85276859998703,1,0.5575084455733901
303,1.0,[594.8609619140625 370.9448547363281 636.9205322265625 447.8912048339844],0.803047776222229,0,0.47845232787211955
304,1.0,[596.0421752929688 369.9324951171875 636.7068481445312 445.3016357421875],0.8202325105667114,1,0.2850739291543505
304,2.0,[330.08343505859375 559.1282958984375 358.07501220703125 578.6011962890625],0.6200571656227112,019,0.1125011899521177
305,1.0,[595.8713989257812 369.26922607421875 639.0995483398438 442.82379150390625],0.8354268670082092,6,0.2081707089179794
307,2.0,[426.6524658203125 560.8944091796875 445.91339111328125 599.3226318359375],0.7086912393569946,6,0.999497595962854
308,1.0,[603.5181884765625 365.365478515625 644.9056396484375 439.4256591796875],0.8387683033943176,8,0.30037949835879374
310,1.0,[608.5120849609375 364.1153259277344 648.6612548828125 438.7858581542969],0.8518120050430298,1,0.6086143936171453
311,1.0,[610.1416625976562 363.3123779296875 651.9061889648438 438.08642578125],0.804358184337616,,0.0
313,1.0,[615.2943115234375 364.7292785644531 655.4459228515625 437.9733581542969],0.852052628993988,8,0.5821828429625384
313,2.0,[441.08056640625 559.1083984375 459.8841552734375 598.5804443359375],0.6674675941467285,6,0.30555620903252034
316,1.0,[624.1122436523438 366.1258544921875 666.6649780273438 438.7069091796875],0.8713943362236023,3,0.6085461338045661
316,2.0,[358.9556579589844 557.826171875 387.5842590332031 578.57568359375],0.6140620112419128,7,0.8666626604451864
319,2.0,[459.0716857910156 562.43994140625 479.0661315917969 604.02001953125],0.7198723554611206,0,0.29286993749767376
322,1.0,[634.1961059570312 373.1058654785156 677.6786499023438 448.3670349121094],0.7836354970932007,1,0.17704244336069852
325,1.0,[633.726318359375 378.468017578125 677.164794921875 453.3138427734375],0.8646277189254761,1,0.39506722624265933
334,1.0,[599.6297607421875 394.8911437988281 644.4737548828125 470.2751159667969],0.870911717414856,2,0.21940464777347657
334,2.0,[337.1357116699219 591.7567138671875 367.4117736816406 612.088623046875],0.6614987254142761,063,0.2101838023197713
337,2.0,[424.05340576171875 603.9450073242188 445.67156982421875 642.4852905273438],0.6843860149383545,9,0.10074645450187347
340,3.0,[302.0443115234375 606.9918823242188 334.2359619140625 627.4041137695312],0.6342449188232422,373,0.14491630825745552
341,1.0,[562.1396484375 413.6204833984375 608.2640380859375 488.0546875],0.8385056257247925,1,0.25423817797117465
342,1.0,[556.7159423828125 415.80596923828125 602.7796630859375 492.08038330078125],0.8751331567764282,1,0.8247679577891631
344,1.0,[548.688232421875 418.1602783203125 597.863037109375 499.1610107421875],0.8032618165016174,4,0.1758384494452372
346,2.0,[269.5965576171875 623.112060546875 303.15667724609375 644.565185546875],0.6092232465744019,1140,0.5264036655426025
347,4.0,[263.7497863769531 626.3546142578125 297.5884704589844 647.6697998046875],0.6029224395751953,1880,0.06927946954965591
348,4.0,[259.08892822265625 628.1640625 291.95416259765625 648.92041015625],0.6005569696426392,130,0.2947524908021712
350,1.0,[527.240234375 431.802001953125 572.338134765625 510.33197021484375],0.8538606762886047,2,0.297921617193456
351,1.0,[520.3736572265625 430.97607421875 566.9886474609375 511.22003173828125],0.8626616597175598,1,0.23025910586654064
352,1.0,[515.0830688476562 430.6470947265625 564.2788696289062 513.7010498046875],0.8375648260116577,1,0.582082338965396
353,1.0,[512.0272216796875 431.215576171875 557.5360107421875 512.9490966796875],0.8359882831573486,,0.0
354,1.0,[506.3057861328125 430.76763916015625 552.8685302734375 511.34576416015625],0.8585231900215149,1,0.15639467704375765
354,2.0,[347.1639404296875 639.76953125 372.86956787109375 686.734619140625],0.7659305334091187,1,0.45490327828156296
354,3.0,[220.63900756835938 629.654541015625 256.1900939941406 656.3702392578125],0.7040371298789978,30,0.0617602902298119
355,1.0,[499.6375732421875 427.98968505859375 548.5733642578125 511.94512939453125],0.843369722366333,1,0.5786850559595713
356,1.0,[496.4942626953125 425.5249938964844 544.64990234375 510.5318298339844],0.8589513897895813,3,0.2051089280600502
357,2.0,[330.84716796875 639.1897583007812 357.822265625 688.3965454101562],0.7564394474029541,6,0.0917654277689195
358,1.0,[485.34759521484375 421.7058410644531 534.0894165039062 508.9313659667969],0.8670670390129089,1,0.7312293024688756
362,1.0,[463.322021484375 407.18463134765625 512.6448974609375 498.80279541015625],0.8690446615219116,8,0.3709947310066788
363,1.0,[457.38189697265625 404.833740234375 508.4027099609375 496.074462890625],0.8719635009765625,1,0.6529834891017607
364,1.0,[453.70245361328125 400.2559814453125 502.507568359375 494.4771728515625],0.8823109269142151,1,0.6080796702615352
367,2.0,[139.54296875 596.59521484375 181.35162353515625 625.7694091796875],0.7848901152610779,17217,0.1340145804536257
368,2.0,[132.87109375 594.0757446289062 177.00509643554688 624.4733276367188],0.8041086792945862,17176,0.23048543129398766
369,1.0,[441.32537841796875 380.70904541015625 491.61981201171875 477.16387939453125],0.8774027228355408,1,0.31451430718948714
369,2.0,[130.2953338623047 590.8825073242188 173.4733428955078 623.1869506835938],0.7604106068611145,157,0.29391899129639587
370,1.0,[439.29754638671875 377.0216064453125 489.3880615234375 473.9930419921875],0.8643447160720825,1,0.721661896710657
